Game_Id,Round,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Hsh,Ash,HT,AT,HF,AF,HC,AC,HY,AY,HR,AR,GameDate,Attendance,Referee_Id,HomeTeam,AwayTeam
,17,1,4,A,0,3,A,12,16,4,11,13,9,9,9,1,0,0,0,13/12/17,,4,17,10
,17,0,4,A,0,2,A,7,23,3,10,12,6,2,5,0,0,0,0,13/12/17,,3,19,3
,17,2,0,H,1,0,H,25,7,8,4,5,10,10,2,1,1,0,0,13/12/17,,19,6,16
,17,0,0,D,0,0,D,6,22,0,3,9,9,1,7,1,0,0,0,13/12/17,,8,14,2
,18,1,0,H,1,0,H,23,10,5,2,13,9,7,5,2,1,0,0,16/12/17,,20,2,11
,18,0,0,D,0,0,D,12,11,2,6,13,13,8,2,4,2,0,0,16/12/17,,4,16,8
,18,1,0,H,1,0,H,24,6,8,2,8,16,8,4,1,3,0,0,16/12/17,,18,7,17
,18,0,3,A,0,2,A,11,13,2,6,12,13,6,4,2,2,1,0,16/12/17,,12,10,12
,18,4,1,H,1,0,H,20,7,11,2,13,20,5,1,2,4,0,0,16/12/17,,5,3,6
,18,0,3,A,0,1,A,17,14,0,7,12,13,7,9,2,1,0,0,16/12/17,,7,20,14
,18,1,4,A,0,2,A,13,15,3,9,12,17,8,7,2,1,1,1,16/12/17,,15,15,18
,18,0,4,A,0,3,A,6,21,2,7,5,10,2,3,1,1,0,0,17/12/17,,2,13,5
,18,1,2,A,0,2,A,12,8,5,3,14,7,6,3,1,3,0,0,17/12/17,,3,21,4
,18,3,1,H,1,1,D,12,8,7,3,12,12,6,3,2,3,0,0,18/12/17,,8,9,19
,19,3,3,D,0,1,A,11,14,4,9,9,11,7,8,1,0,0,0,22/12/17,,12,2,5
,19,1,0,H,0,0,D,14,13,3,1,8,11,6,4,0,0,0,0,23/12/17,,17,16,15
,19,0,3,A,0,1,A,5,18,2,8,10,10,4,4,1,2,0,0,23/12/17,,15,8,6
,19,0,0,D,0,0,D,5,25,0,8,8,4,2,7,3,0,0,0,23/12/17,,19,9,7
,19,2,2,D,1,1,D,11,19,3,6,19,8,4,6,2,2,1,0,23/12/17,,8,10,4
,19,4,0,H,1,0,H,14,5,5,1,8,7,4,6,0,1,0,0,23/12/17,,14,3,13
,19,1,1,D,1,0,H,12,10,6,3,16,9,9,1,2,1,0,0,23/12/17,,11,17,18
,19,3,1,H,2,0,H,9,17,5,7,9,11,1,11,1,0,0,0,23/12/17,,16,20,21
,19,1,1,D,0,0,D,7,13,2,5,13,11,6,3,2,3,0,0,23/12/17,,5,19,12
,19,2,3,A,1,1,D,19,11,6,4,9,12,6,3,1,1,0,0,23/12/17,,10,14,11
,20,3,3,D,1,1,D,26,10,10,5,12,14,7,4,3,4,0,0,26/12/17,,20,13,14
,20,2,0,H,0,0,D,25,8,8,1,8,8,13,1,0,1,0,0,26/12/17,,13,7,16
,20,1,1,D,1,0,H,18,15,8,7,9,12,8,5,2,4,0,0,26/12/17,,3,18,20
,20,5,0,H,1,0,H,22,7,9,4,5,8,4,2,0,1,0,0,26/12/17,,9,5,19
,20,2,2,D,0,2,A,23,3,6,2,10,14,12,2,3,7,0,0,26/12/17,,12,4,8
,20,5,2,H,2,0,H,16,16,7,6,8,15,3,8,0,2,0,0,26/12/17,,7,6,17
,20,2,1,H,1,1,D,11,11,1,5,7,13,8,8,3,3,0,0,26/12/17,,4,15,10
,20,0,0,D,0,0,D,17,7,3,3,14,13,10,2,2,0,0,0,26/12/17,,18,21,9
,20,0,1,A,0,1,A,6,22,2,6,11,6,3,8,1,0,0,0,27/12/17,,2,11,3
,20,2,3,A,0,1,A,16,16,2,9,12,7,5,4,0,1,0,0,28/12/17,,15,12,2
,21,2,1,H,1,0,H,19,6,7,1,8,13,4,4,0,0,0,0,30/12/17,,11,13,9
,21,5,0,H,3,0,H,21,1,12,1,5,10,7,0,1,1,0,0,30/12/17,,9,7,20
,21,0,0,D,0,0,D,3,11,1,4,14,14,5,4,2,1,0,0,30/12/17,,17,18,8
,21,2,1,H,0,1,A,17,7,6,1,7,3,7,1,3,2,0,0,30/12/17,,16,5,10
,21,0,0,D,0,0,D,15,8,3,3,12,13,10,7,2,4,0,0,30/12/17,,5,4,17
,21,0,0,D,0,0,D,11,10,2,3,11,10,3,6,2,2,0,0,30/12/17,,3,11,16
,21,1,2,A,1,0,H,9,9,4,4,14,13,1,8,4,2,0,0,30/12/17,,12,15,19
,21,0,0,D,0,0,D,10,15,1,4,14,11,7,8,5,4,0,0,31/12/17,,8,12,3
,21,1,1,D,0,0,D,14,14,3,4,14,9,5,6,3,3,0,0,31/12/17,,13,21,2
,22,2,2,D,1,1,D,15,26,6,8,13,9,5,12,2,1,0,0,1/1/2018,,15,16,13
,22,1,2,A,0,0,D,13,19,4,5,4,12,3,9,0,0,0,0,1/1/2018,,18,8,5
,22,0,2,A,0,0,D,12,21,0,6,11,10,6,6,2,0,0,0,1/1/2018,,2,9,4
,22,3,0,H,0,0,D,11,6,5,1,7,9,4,1,1,1,0,0,1/1/2018,,7,10,18
,22,0,1,A,0,0,D,11,14,4,6,10,11,10,5,3,1,0,0,1/1/2018,,4,20,11
,22,3,1,H,2,0,H,17,7,7,4,8,12,9,1,1,1,0,0,2/1/2018,,10,3,15
,22,1,2,A,1,0,H,10,11,3,4,8,11,4,7,0,1,0,0,2/1/2018,,20,17,12
,22,0,2,A,0,1,A,8,12,1,5,12,9,6,5,2,2,0,0,2/1/2018,,19,19,6
,22,2,1,H,0,1,A,13,10,5,3,12,12,3,4,3,2,0,0,2/1/2018,,14,14,21
,22,2,2,D,0,0,D,14,19,6,6,11,11,10,8,3,2,0,0,3/1/2018,,3,2,7
,21,1,1,D,0,0,D,31,3,8,1,10,6,7,1,0,2,0,0,4/1/2018,,13,6,14
,23,0,0,D,0,0,D,17,14,7,1,14,13,6,3,2,2,0,1,13/01/18,,14,7,10
,23,1,0,H,1,0,H,17,8,2,2,16,10,3,2,0,3,0,0,13/01/18,,15,12,8
,23,1,4,A,1,1,D,8,8,2,6,7,9,7,3,1,1,0,0,13/01/18,,8,18,14
,23,1,1,D,0,0,D,12,8,4,5,11,10,4,5,0,3,0,0,13/01/18,,7,11,19
,23,4,0,H,1,0,H,20,7,10,0,11,15,3,3,0,2,0,0,13/01/18,,5,6,9
,23,2,2,D,0,2,A,16,10,4,4,11,13,5,4,0,5,0,0,13/01/18,,18,15,17
,23,2,0,H,1,0,H,15,13,4,1,8,15,9,6,0,0,0,0,13/01/18,,12,21,16
,23,2,1,H,0,0,D,13,12,5,3,8,10,4,5,2,2,0,0,14/01/18,,9,13,2
,23,4,3,H,1,1,D,16,11,7,4,10,7,5,6,2,3,0,0,14/01/18,,2,5,3
,23,3,0,H,2,0,H,20,11,9,5,14,10,6,1,2,1,0,0,15/01/18,,3,4,20
,24,4,1,H,4,0,H,16,9,10,5,6,8,5,10,0,0,0,0,20/01/18,,4,2,12
,24,0,4,A,0,2,A,10,14,3,10,12,5,5,3,3,0,0,0,20/01/18,,8,16,7
,24,0,1,A,0,0,D,13,12,2,2,7,12,5,4,3,3,0,0,20/01/18,,13,8,4
,24,1,1,D,0,1,A,9,15,4,5,15,10,0,3,2,1,0,0,20/01/18,,20,9,21
,24,2,0,H,1,0,H,9,11,5,3,11,10,4,5,0,0,0,0,20/01/18,,11,10,15
,24,3,1,H,1,0,H,21,6,9,4,5,10,18,0,0,1,0,0,20/01/18,,17,3,11
,24,2,0,H,0,0,D,11,6,6,3,18,13,3,2,1,1,0,0,20/01/18,,15,20,18
,24,1,1,D,0,0,D,12,8,4,3,8,7,6,3,3,1,0,0,20/01/18,,12,14,13
